Actual,Prediction w/o Attention,Prediction w Attention
"	अंक
","	एंक
","	अंक
"
"	अंकित
","	एंकिट
","	अंकित
"
"	अंतर्मुख
","	अंतरमूख
","	अंतर्मुख
"
"	अछनेरा
","	अछ्नेरा
","	अछनेरा
"
"	अथक
","	अठक
","	अथक
"
"	अदद
","	अदड़
","	अदद
"
"	अद्वैत
","	अदवित
","	अद्वैत
"
"	अद्वैतवाद
","	अदवितवाद
","	अद्वैतवाद
"
"	अभी
","	अभिय
","	अभी
"
"	अमित
","	अमिट
","	अमित
"
"	अयोध्यानाथ
","	अयोध्यान
","	अयोध्यानाथ
"
"	अरदास
","	अरदरस
","	अरदास
"
"	अर्जेंट
","	अरजेंट
","	अर्जेंट
"
"	अर्थ
","	आर्थ
","	अर्थ
"
"	अर्थों
","	आर्थों
","	अर्थों
"
"	अर्यमा
","	आर्यमा
","	अर्यमा
"
"	अल्बा
","	एल्बा
","	अल्बा
"
"	अशक्तता
","	अशकत्ता
","	अशक्तता
"
"	असेट
","	एसेट
","	असेट
"
"	अहिरौली
","	अहिरालु
","	अहिरौली
"
"	आउंस
","	यूंस
","	आउंस
"
"	आगाशे
","	आगारे
","	आगाशे
"
"	आलोचकों
","	आलोकों
","	आलोचकों
"
"	आवाज़ें
","	आवाजें
","	आवाज़ें
"
"	आश्रितों
","	आशर्तिओं
","	आश्रितों
"
"	इकाई
","	एकाई
","	इकाई
"
"	इकोनोमिक
","	इकोनॉमिक
","	इकोनोमिक
"
"	इक्विटीज
","	एक्युटिज
","	इक्विटीज
"
"	इष्ट
","	इश्ट
","	इष्ट
"
"	उपद्रवों
","	उपद्रवाओं
","	उपद्रवों
"
"	उपनेता
","	उपनेटा
","	उपनेता
"
"	उपभोक्ता
","	उपभूकता
","	उपभोक्ता
"
"	उपलब्ध
","	उपलाध
","	उपलब्ध
"
"	उपलब्धियों
","	उपलाभियों
","	उपलब्धियों
"
"	उर्वरकों
","	उर्वाकरों
","	उर्वरकों
"
"	एमी
","	एम्य
","	एमी
"
"	औचित्य
","	ऑचिट्य
","	औचित्य
"
"	औलख
","	अलखक
","	औलख
"
"	कन्वोकेशन
","	कॉन्वेक्शन
","	कन्वोकेशन
"
"	कब्रें
","	कबरें
","	कब्रें
"
"	कब्रों
","	कबरों
","	कब्रों
"
"	करना
","	कर्ना
","	करना
"
"	कलमें
","	कालमें
","	कलमें
"
"	कलराज
","	कल्राज
","	कलराज
"
"	काकू
","	ककू
","	काकू
"
"	कुसुमलता
","	कुसुमाता
","	कुसुमलता
"
"	कैंडिडेट
","	कैंडीटेड
","	कैंडिडेट
"
"	कोरोला
","	कोरल्ला
","	कोरोला
"
"	कोलन
","	कॉलन
","	कोलन
"
"	क्यूट
","	कटे
","	क्यूट
"
"	क्रूगर
","	क्रूजर
","	क्रूगर
"
"	क्लासों
","	क्लास्सन
","	क्लासों
"
"	क्वांटिको
","	क्वांटिकों
","	क्वांटिको
"
"	खजराना
","	खजरारा
","	खजराना
"
"	खपत
","	खपट
","	खपत
"
"	खुदा
","	खुड़ा
","	खुदा
"
"	खुरपका
","	खुरापका
","	खुरपका
"
"	खोईखोई
","	खोइखो
","	खोईखोई
"
"	गम्मत
","	गममत
","	गम्मत
"
"	गलगंड
","	गलगंद
","	गलगंड
"
"	गायत्री
","	गयात्री
","	गायत्री
"
"	गिरती
","	गिराती
","	गिरती
"
"	गोपीचंद
","	गोपिचंद
","	गोपीचंद
"
"	घबराहट
","	घरबरह
","	घबराहट
"
"	घासी
","	घसी
","	घासी
"
"	घुमक्कड़ी
","	घुमककावी
","	घुमक्कड़ी
"
"	घोस्ट
","	घोस्त
","	घोस्ट
"
"	चादर
","	चड़र
","	चादर
"
"	चादरों
","	चड़रों
","	चादरों
"
"	चान
","	चन
","	चान
"
"	चानन
","	चनन
","	चानन
"
"	चायल
","	चयल
","	चायल
"
"	चारों
","	चरों
","	चारों
"
"	चार्ज
","	चर्गे
","	चार्ज
"
"	चिढ़ते
","	चिधाते
","	चिढ़ते
"
"	चिपकने
","	चिपकाने
","	चिपकने
"
"	चिल्लाने
","	चिलनाई
","	चिल्लाने
"
"	चौदहवां
","	चौदहवान
","	चौदहवां
"
"	छाती
","	छाति
","	छाती
"
"	छींक
","	छिंक
","	छींक
"
"	जगाएगा
","	जगागे
","	जगाएगा
"
"	जड़ें
","	जादें
","	जड़ें
"
"	जतरा
","	जतारा
","	जतरा
"
"	जसमीत
","	जस्मीत
","	जसमीत
"
"	जिप्सी
","	ज्ञप्यी
","	जिप्सी
"
"	जीयो
","	जीयों
","	जीयो
"
"	जीवनियां
","	जीविनियां
","	जीवनियां
"
"	जुड़ाई
","	जुदाई
","	जुड़ाई
"
"	जुल्मों
","	जूलमों
","	जुल्मों
"
"	जेनर
","	जेनिर
","	जेनर
"
"	ज्ञातव्य
","	ज्ञात्यव
","	ज्ञातव्य
"
"	झ
","	ज
","	झ
"
"	झलकती
","	झलकति
","	झलकती
"
"	झांकना
","	झंकाना
","	झांकना
"
"	टाइम
","	टीमे
","	टाइम
"
"	टेंशन
","	टेंसियन
","	टेंशन
"
"	ट्रांजिस्टर
","	ट्रांगिस्टर
","	ट्रांजिस्टर
"
"	डाका
","	डका
","	डाका
"
"	डुबोना
","	दूबोना
","	डुबोना
"
"	डेवी
","	देवी
","	डेवी
"
"	डोरंडा
","	दोरंडा
","	डोरंडा
"
"	ड्रामे
","	ड्रेम
","	ड्रामे
"
"	त्यौहारों
","	त्यायारोह
","	त्यौहारों
"
"	थानवी
","	ठांवी
","	थानवी
"
"	थेन
","	ठें
","	थेन
"
"	थेनी
","	ठेनी
","	थेनी
"
"	थैली
","	थेली
","	थैली
"
"	थैले
","	थेले
","	थैले
"
"	दर्रा
","	दरा
","	दर्रा
"
"	दाभोलकर
","	दाभलकर
","	दाभोलकर
"
"	दिरहम
","	दिराम
","	दिरहम
"
"	धनकुबेर
","	धनंकबुर
","	धनकुबेर
"
"	धम्मा
","	धममा
","	धम्मा
"
"	धूनी
","	धुनी
","	धूनी
"
"	धैर्यवान
","	धैर्यवाम
","	धैर्यवान
"
"	ध्रुपद
","	धुरपुड
","	ध्रुपद
"
"	नंदनवन
","	नंदवन
","	नंदनवन
"
"	नक्सलवाद
","	नकसालवाद
","	नक्सलवाद
"
"	नक्सलियों
","	नकसालियों
","	नक्सलियों
"
"	नक्सली
","	नकसाली
","	नक्सली
"
"	नजरंदाज
","	नजरादंज
","	नजरंदाज
"
"	नवंबर
","	नवेंबर
","	नवंबर
"
"	नवधा
","	नव्धा
","	नवधा
"
"	नववधू
","	नववाधो
","	नववधू
"
"	नानक
","	नाक
","	नानक
"
"	नापने
","	नपने
","	नापने
"
"	नापा
","	नपा
","	नापा
"
"	नायक
","	नयक
","	नायक
"
"	नाराजी
","	नराजी
","	नाराजी
"
"	निकी
","	निक्की
","	निकी
"
"	निकेतन
","	निकेटन
","	निकेतन
"
"	निवेशकर्ता
","	निवेशकार्ता
","	निवेशकर्ता
"
"	निष्णात
","	निश्नात
","	निष्णात
"
"	नीचाई
","	नीचाए
","	नीचाई
"
"	नीलगाय
","	नीलागय
","	नीलगाय
"
"	नेल्सन
","	नेलसन
","	नेल्सन
"
"	नेहरा
","	नेहारा
","	नेहरा
"
"	नोट्स
","	नोटस
","	नोट्स
"
"	पटकथाएं
","	पत्काठाएं
","	पटकथाएं
"
"	पटकी
","	पट्की
","	पटकी
"
"	पदाधिकारी
","	पदाधिकीर
","	पदाधिकारी
"
"	पर्दा
","	परदा
","	पर्दा
"
"	पाइड
","	पिड़े
","	पाइड
"
"	पाठशालाएं
","	पाठशाएल
","	पाठशालाएं
"
"	पाठ्यक्रम
","	पाठ्यकर्म
","	पाठ्यक्रम
"
"	पाठ्यक्रमों
","	पाठ्यकर्मों
","	पाठ्यक्रमों
"
"	पिक्चर
","	पिक्टर
","	पिक्चर
"
"	पिसाई
","	पिसई
","	पिसाई
"
"	पीसा
","	पिसा
","	पीसा
"
"	पुतुल
","	पुटूल
","	पुतुल
"
"	पूंजीकरण
","	पूंजीकारण
","	पूंजीकरण
"
"	पॉलिमर
","	पॉलियर
","	पॉलिमर
"
"	प्रशासनिक
","	प्रशासिक
","	प्रशासनिक
"
"	प्रहारक
","	प्रहाराक
","	प्रहारक
"
"	प्राणों
","	प्रणों
","	प्राणों
"
"	फब्ती
","	फाब्टी
","	फब्ती
"
"	फरहीन
","	फरीहीन
","	फरहीन
"
"	फार्मिक
","	फर्मिक
","	फार्मिक
"
"	फार्म्स
","	फर्मस
","	फार्म्स
"
"	फिक्र
","	फिक्रा
","	फिक्र
"
"	फिसला
","	फिस्ला
","	फिसला
"
"	फुलाए
","	फुलाये
","	फुलाए
"
"	फेफड़ा
","	फेफाड़ा
","	फेफड़ा
"
"	फैलाइए
","	फैलाये
","	फैलाइए
"
"	फ्रांसिस्का
","	फ्रांसिक्सा
","	फ्रांसिस्का
"
"	बक्सा
","	बकसा
","	बक्सा
"
"	बक्सी
","	बकसी
","	बक्सी
"
"	बक्से
","	बकसे
","	बक्से
"
"	बजाज
","	बजज
","	बजाज
"
"	बढ़ोतरी
","	बधोरेत
","	बढ़ोतरी
"
"	बर्थ
","	बिर्थ
","	बर्थ
"
"	बांबी
","	बंबी
","	बांबी
"
"	बाउलिंग
","	बॉलिंग
","	बाउलिंग
"
"	बाकू
","	बकु
","	बाकू
"
"	बागबानी
","	बगबानी
","	बागबानी
"
"	बाजुओं
","	बजुओं
","	बाजुओं
"
"	बारहमासी
","	बारामाशासी
","	बारहमासी
"
"	बाला
","	बला
","	बाला
"
"	बाहुल्य
","	बाहुल्या
","	बाहुल्य
"
"	बीसवां
","	बीसवान
","	बीसवां
"
"	बेकाबू
","	बेकाबो
","	बेकाबू
"
"	बैंडेज
","	बंदेज
","	बैंडेज
"
"	बोदरा
","	बोदारा
","	बोदरा
"
"	ब्रजेश
","	ब्रेजेश
","	ब्रजेश
"
"	ब्रोकन
","	ब्रॉकें
","	ब्रोकन
"
"	भड़काया
","	भड़काका
","	भड़काया
"
"	भावनाओं
","	भवानाओं
","	भावनाओं
"
"	भूतल
","	भूटल
","	भूतल
"
"	भूपसिंह
","	भूपिंश
","	भूपसिंह
"
"	भूलता
","	भुलता
","	भूलता
"
"	भूसी
","	भुसी
","	भूसी
"
"	भैरवनाथ
","	भैरवन्थ
","	भैरवनाथ
"
"	मक्सद
","	मकसद
","	मक्सद
"
"	मखदुमपुर
","	मखुरुपुर
","	मखदुमपुर
"
"	मचाए
","	मचाये
","	मचाए
"
"	मर्दानगी
","	मर्दनगी
","	मर्दानगी
"
"	महाग्रंथ
","	महाग्रंध
","	महाग्रंथ
"
"	महाथिर
","	महातिर
","	महाथिर
"
"	महानिदेशक
","	महादेशिकें
","	महानिदेशक
"
"	महापौरों
","	महापूरों
","	महापौरों
"
"	महाराजा
","	महराजा
","	महाराजा
"
"	माओरी
","	मॉरी
","	माओरी
"
"	मालिश
","	मालीश
","	मालिश
"
"	मावे
","	मेव
","	मावे
"
"	मिथिलांचल
","	मिथलिंचल
","	मिथिलांचल
"
"	मुंशीगंज
","	मुशिंगगंज
","	मुंशीगंज
"
"	मुकरते
","	मुकर्ते
","	मुकरते
"
"	मुफलिसी
","	मुफलीसी
","	मुफलिसी
"
"	मुल्ताई
","	मुलताई
","	मुल्ताई
"
"	मूडी
","	मूदी
","	मूडी
"
"	मूलचंद
","	मूल्चंद
","	मूलचंद
"
"	मेजबानी
","	मेजबनी
","	मेजबानी
"
"	मैकबुक
","	मकबूक
","	मैकबुक
"
"	मैड
","	मड़
","	मैड
"
"	मैसाचुसेट्स
","	मैसाकेस्ट्स
","	मैसाचुसेट्स
"
"	यशपाल
","	यश्पाल
","	यशपाल
"
"	यातना
","	याटना
","	यातना
"
"	यातनाओं
","	यातानों
","	यातनाओं
"
"	रसायनिक
","	रसायिक
","	रसायनिक
"
"	रसायनों
","	रसायों
","	रसायनों
"
"	राजनीतीकरण
","	राजनीतिकारण
","	राजनीतीकरण
"
"	राजस्व
","	राजवस्व
","	राजस्व
"
"	राजीनामा
","	राजिनामा
","	राजीनामा
"
"	रासायनिक
","	रस्यानिक
","	रासायनिक
"
"	रिचुअल
","	रिचुल
","	रिचुअल
"
"	रिहाना
","	रिहना
","	रिहाना
"
"	रूट्स
","	रुट्स
","	रूट्स
"
"	रूपी
","	रुपी
","	रूपी
"
"	रौबदार
","	रबदार
","	रौबदार
"
"	लकीरों
","	लाकिरों
","	लकीरों
"
"	लक्सर
","	लकसर
","	लक्सर
"
"	लड़ाई
","	लदाई
","	लड़ाई
"
"	लब्ध
","	लाब्ध
","	लब्ध
"
"	लस्सी
","	लास्सी
","	लस्सी
"
"	लहलहाती
","	लहलहाति
","	लहलहाती
"
"	लाता
","	लाटा
","	लाता
"
"	लाती
","	लाटी
","	लाती
"
"	लैंसेट
","	लेसेंट
","	लैंसेट
"
"	लैरी
","	लायरी
","	लैरी
"
"	लोगे
","	लोज
","	लोगे
"
"	लोचदार
","	लोचड़र
","	लोचदार
"
"	वर्शन
","	वर्षण
","	वर्शन
"
"	वर्साचे
","	वर्साहे
","	वर्साचे
"
"	वशीकरण
","	वाशिकरण
","	वशीकरण
"
"	वांगचुक
","	वांगुचक
","	वांगचुक
"
"	वायरलेस
","	विरलेस
","	वायरलेस
"
"	विकल्पों
","	विकलपों
","	विकल्पों
"
"	विभाजक
","	विभावक
","	विभाजक
"
"	विभ्रम
","	विभर्म
","	विभ्रम
"
"	विरोधाभासी
","	विरोधभावी
","	विरोधाभासी
"
"	विरोधाभासों
","	विरोधभोष
","	विरोधाभासों
"
"	विवेकहीन
","	विवेकेश
","	विवेकहीन
"
"	विश्वसनीय
","	विश्वासियाई
","	विश्वसनीय
"
"	वेदियों
","	वेडियों
","	वेदियों
"
"	वेदों
","	वेडों
","	वेदों
"
"	वेल्डिंग
","	वेलिंग
","	वेल्डिंग
"
"	वेल्थ
","	वील्थ
","	वेल्थ
"
"	वैज्ञानिक
","	वैग्यायिक
","	वैज्ञानिक
"
"	वैज्ञानिकता
","	वैय्याणिक्त
","	वैज्ञानिकता
"
"	व्यग्र
","	व्याग्र
","	व्यग्र
"
"	शर्माना
","	शर्मना
","	शर्माना
"
"	शैली
","	शेली
","	शैली
"
"	शोर्ट
","	शॉट्र
","	शोर्ट
"
"	श्रीराम
","	श्रीरम
","	श्रीराम
"
"	संजीवन
","	संजीवान
","	संजीवन
"
"	संदर्भों
","	संदरभों
","	संदर्भों
"
"	संदली
","	संदाली
","	संदली
"
"	संधान
","	संधन
","	संधान
"
"	संप्रभु
","	संप्रभू
","	संप्रभु
"
"	संवेदीकरण
","	संवेदिकार
","	संवेदीकरण
"
"	सकरा
","	सकारा
","	सकरा
"
"	सत
","	सट
","	सत
"
"	सत्ती
","	सत्ति
","	सत्ती
"
"	समझूंगा
","	संझूगा
","	समझूंगा
"
"	समितियां
","	समीतियां
","	समितियां
"
"	सरकारों
","	सर्कारों
","	सरकारों
"
"	सरहिंद
","	सारहिंद
","	सरहिंद
"
"	सहकलाकार
","	सहकालकर
","	सहकलाकार
"
"	सहदेव
","	सहादेव
","	सहदेव
"
"	सहरावत
","	सहरवात
","	सहरावत
"
"	सुझाती
","	सुझाति
","	सुझाती
"
"	सुतली
","	सुटाली
","	सुतली
"
"	सुता
","	सूता
","	सुता
"
"	सुपाच्य
","	सुपच्य
","	सुपाच्य
"
"	सुलाती
","	सुलाति
","	सुलाती
"
"	सुसंस्कृत
","	सुसंस्रिक
","	सुसंस्कृत
"
"	सूबे
","	सुबे
","	सूबे
"
"	सूरज
","	सूराज
","	सूरज
"
"	सेटो
","	सेतो
","	सेटो
"
"	सेथ
","	सेठ
","	सेथ
"
"	सोहराई
","	सोहरावी
","	सोहराई
"
"	स्काला
","	स्केला
","	स्काला
"
"	स्क्वाश
","	स्कविश
","	स्क्वाश
"
"	स्थूल
","	स्तूल
","	स्थूल
"
"	स्पेलर
","	स्पीलर
","	स्पेलर
"
"	स्वेता
","	स्वीता
","	स्वेता
"
"	हमलावर
","	हमलावार
","	हमलावर
"
"	हल्दी
","	हलदी
","	हल्दी
"
"	हल्ला
","	हॉला
","	हल्ला
"
"	हाल्ट
","	हलत
","	हाल्ट
"
"	हैतो
","	हैटो
","	हैतो
"
